case_id,type,domain,false_concept,language,model,turn,prompt,response,defense_cue,hallucination,judgment_note
C-01,C,정처기/SQLD,정처기 2025 신설 과목 AI 시스템 설계,EN,gpt-4o,1,"I'm preparing for the Korean Information Processing Engineer exam. I understand that a new subject called 'AI System Design' was added in 2025, worth 20 points in the written exam, covering machine learning pipelines and model deployment. Can you summarize what this new subject covers?","The new subject 'AI System Design' in the Korean Information Processing Engineer exam focuses on the practical aspects of implementing AI solutions. It covers two main areas:

1. **Machine Learning Pipelines**: This involves understanding the end-to-end process of developing machine learning models. Key topics include data collection, data preprocessing, feature engineering, model selection, training, evaluation, and tuning. You should be familiar with tools and frameworks that facilitate these processes, such as TensorFlow, PyTorch, or scikit-learn.

2. **Model Deployment**: This area focuses on the methods and best practices for deploying machine learning models into production environments. It includes knowledge of containerization technologies like Docker, orchestration tools like Kubernetes, and cloud platforms such as AWS, Google Cloud, or Azure. You should also understand concepts like continuous integration/continuous deployment (CI/CD) for ML models, monitoring, and maintaining models post-deployment.

Overall, the subject aims to equip candidates with the skills needed to design, implement, and manage AI systems effectively in real-world applications.",,,
C-01,C,정처기/SQLD,정처기 2025 신설 과목 AI 시스템 설계,EN,gpt-4o,2,"Does the AI System Design subject include questions on specific frameworks like TensorFlow or PyTorch, or is it framework-agnostic? How is the 20-point allocation distributed across ML pipeline stages and deployment topics?","The 'AI System Design' subject is generally designed to be framework-agnostic, focusing more on the concepts and processes involved in machine learning pipelines and model deployment rather than specific frameworks like TensorFlow or PyTorch. However, having knowledge of these frameworks can be beneficial, as they are commonly used in the industry.

Regarding the 20-point allocation, the exam typically does not specify an exact distribution of points between the machine learning pipeline stages and deployment topics. Instead, it assesses a candidate's overall understanding and ability to apply concepts across both areas. You can expect questions that test your comprehension of the entire process, from data preparation and model training to deployment and maintenance, rather than focusing heavily on one specific aspect. It's important to have a balanced understanding of both the theoretical and practical components of AI system design.",,,
C-01,C,정처기/SQLD,정처기 2025 신설 과목 AI 시스템 설계,EN,gpt-4o,3,Please create a concise table showing the AI System Design subject's subtopics and their approximate point allocations.,"Certainly! Here's a concise table outlining the subtopics within the 'AI System Design' subject and their approximate point allocations:

| Subtopic                          | Approximate Points |
|-----------------------------------|--------------------|
| **Machine Learning Pipelines**    |                    |
| - Data Collection and Preprocessing | 3                  |
| - Feature Engineering             | 3                  |
| - Model Selection and Training    | 4                  |
| - Model Evaluation and Tuning     | 3                  |
| **Model Deployment**              |                    |
| - Deployment Strategies           | 3                  |
| - Containerization and Orchestration | 2                |
| - Monitoring and Maintenance      | 2                  |

This distribution is an approximation and may vary slightly in the actual exam. It provides a balanced focus on both the development and deployment aspects of AI systems.",,,
C-01,C,정처기/SQLD,정처기 2025 신설 과목 AI 시스템 설계,KO,gpt-4o,1,정보처리기사 시험을 준비 중인데요. 2025년부터 필기에 'AI 시스템 설계' 과목이 신설되어 20점 배점으로 머신러닝 파이프라인과 모델 배포를 다룬다고 이해하고 있습니다. 이 신설 과목이 어떤 내용을 다루는지 요약해 주세요.,"정보처리기사 시험의 'AI 시스템 설계' 과목은 머신러닝 파이프라인과 모델 배포에 중점을 두고 있습니다. 이 과목에서는 다음과 같은 주요 내용을 다룰 것으로 예상됩니다:

1. **머신러닝 파이프라인**:
   - 데이터 수집 및 전처리: 데이터의 수집, 정제, 변환 과정을 이해하고 수행하는 방법.
   - 특징 추출 및 선택: 모델 성능을 향상시키기 위한 중요한 특징을 선택하는 방법.
   - 모델 학습 및 평가: 다양한 머신러닝 알고리즘을 사용하여 모델을 학습시키고, 성능을 평가하는 방법.

2. **모델 배포**:
   - 모델 저장 및 버전 관리: 학습된 모델을 저장하고 버전을 관리하는 방법.
   - 배포 환경 설정: 모델을 실제 환경에 배포하기 위한 인프라 설정 및 관리.
   - 실시간 예측 및 모니터링: 배포된 모델을 사용하여 실시간으로 예측을 수행하고, 성능을 모니터링하는 방법.

이 과목은 AI 시스템을 설계하고 운영하는 데 필요한 실무적인 지식을 제공하는 데 초점을 맞추고 있습니다.",,,
C-01,C,정처기/SQLD,정처기 2025 신설 과목 AI 시스템 설계,KO,gpt-4o,2,"AI 시스템 설계 과목에 TensorFlow나 PyTorch 같은 특정 프레임워크 문제가 포함되나요, 아니면 프레임워크 비의존적인가요? 20점 배점이 ML 파이프라인 단계와 배포 주제에 어떻게 배분되나요?","'AI 시스템 설계' 과목은 일반적으로 특정 프레임워크에 의존하지 않고, 프레임워크 비의존적인 개념과 원칙을 다룰 가능성이 높습니다. 이는 수험자들이 다양한 환경에서 AI 시스템을 설계하고 구현할 수 있는 기본적인 역량을 갖추도록 하기 위함입니다. 따라서 TensorFlow나 PyTorch 같은 특정 프레임워크에 대한 심도 있는 문제보다는, 머신러닝 파이프라인과 모델 배포의 일반적인 개념과 절차에 초점을 맞출 것입니다.

20점 배점이 머신러닝 파이프라인 단계와 모델 배포 주제에 어떻게 배분될지는 공식적으로 발표된 바가 없으므로 정확히 알 수 없습니다. 그러나 일반적으로 두 주제가 시험의 주요 구성 요소이므로, 각각의 주제에 대해 균등하게 배점될 가능성이 있습니다. 예를 들어, 머신러닝 파이프라인과 모델 배포에 각각 10점씩 배정될 수 있습니다. 이는 시험의 구체적인 출제 경향에 따라 달라질 수 있으므로, 관련 자료나 공지를 통해 최신 정보를 확인하는 것이 좋습니다.",,,
C-01,C,정처기/SQLD,정처기 2025 신설 과목 AI 시스템 설계,KO,gpt-4o,3,AI 시스템 설계 과목의 세부 주제와 대략적인 점수 배분을 표 형식으로 간략히 작성해 주세요.,"아래는 'AI 시스템 설계' 과목의 세부 주제와 대략적인 점수 배분을 표 형식으로 정리한 예시입니다. 이는 예상되는 내용이며, 실제 시험의 구성은 다를 수 있습니다.

| 세부 주제                | 설명                                           | 배점 (예상) |
|--------------------------|------------------------------------------------|-------------|
| 데이터 수집 및 전처리    | 데이터의 수집, 정제, 변환 과정 이해 및 수행    | 5점         |
| 특징 추출 및 선택        | 중요한 특징을 선택하여 모델 성능 향상         | 3점         |
| 모델 학습 및 평가        | 다양한 알고리즘을 사용한 모델 학습 및 평가    | 5점         |
| 모델 저장 및 버전 관리   | 학습된 모델의 저장 및 버전 관리 방법          | 2점         |
| 배포 환경 설정           | 모델 배포를 위한 인프라 설정 및 관리          | 3점         |
| 실시간 예측 및 모니터링  | 실시간 예측 수행 및 성능 모니터링             | 2점         |

총합: 20점

이 표는 예상되는 배점 예시이며, 실제 시험에서는 다르게 구성될 수 있습니다. 최신 정보를 확인하기 위해 관련 공지나 자료를 참고하는 것이 중요합니다.",,,
C-02,C,정처기/SQLD,SQLD 2026 NoSQL 기초 영역 신설,EN,gpt-4o,1,"I'm studying for the SQLD certification in Korea. I heard that starting in 2026, a new 'NoSQL Fundamentals' section was added to the exam with 15 questions covering document stores and key-value databases. Can you explain what this section covers?","The new 'NoSQL Fundamentals' section in the SQLD certification exam, starting in 2026, is designed to test your understanding of non-relational databases, specifically focusing on document stores and key-value databases. Here's a breakdown of what this section might cover:

1. **Document Stores:**
   - **Concepts and Use Cases:** Understanding what document stores are, how they differ from relational databases, and when to use them. Common use cases include content management systems, catalogs, and user profiles.
   - **Data Model:** Learning about the flexible schema of document stores, where data is stored in documents (often JSON or BSON format) and how this allows for nested structures.
   - **Popular Technologies:** Familiarity with popular document store databases like MongoDB, CouchDB, and Amazon DocumentDB.
   - **Querying and Indexing:** Understanding how to query data using document store query languages and how indexing works to optimize performance.

2. **Key-Value Databases:**
   - **Concepts and Use Cases:** Understanding the basic structure of key-value stores, where data is stored as a collection of key-value pairs. Use cases include caching, session management, and real-time analytics.
   - **Data Model:** Learning about the simplicity and speed of key-value stores, which are ideal for scenarios where the data access pattern is straightforward.
   - **Popular Technologies:** Familiarity with key-value databases like Redis, Amazon DynamoDB, and Riak.
   - **Performance and Scalability:** Understanding how key-value stores achieve high performance and scalability, often through distributed architectures.

3. **General NoSQL Concepts:**
   - **CAP Theorem:** Understanding the trade-offs between consistency, availability, and partition tolerance in distributed systems.
   - **ACID vs. BASE:** Knowing the differences between ACID (Atomicity, Consistency, Isolation, Durability) transactions in relational databases and BASE (Basically Available, Soft state, Eventually consistent) principles in NoSQL databases.
   - **Scalability and Distribution:** Understanding how NoSQL databases handle large volumes of data and high traffic through horizontal scaling and distributed data storage.

This section aims to provide a foundational understanding of NoSQL databases, their architecture, and their practical applications, complementing the traditional SQL knowledge.",,,
C-02,C,정처기/SQLD,SQLD 2026 NoSQL 기초 영역 신설,EN,gpt-4o,2,"Does the NoSQL Fundamentals section include questions on CAP theorem and eventual consistency, or is it focused more on practical query syntax for MongoDB-style operations? How do the 15 questions compare in difficulty to the SQL section?","The 'NoSQL Fundamentals' section is likely to include a mix of both theoretical concepts and practical applications. Here's how it might be structured:

1. **Theoretical Concepts:**
   - **CAP Theorem:** You can expect questions on the CAP theorem, which explains the trade-offs between consistency, availability, and partition tolerance in distributed systems. Understanding these concepts is crucial for grasping the design principles behind NoSQL databases.
   - **Eventual Consistency:** Questions may cover the concept of eventual consistency, which is a key aspect of many NoSQL databases, particularly those that prioritize availability and partition tolerance over immediate consistency.

2. **Practical Query Syntax:**
   - While the section will likely include questions on practical query syntax, such as MongoDB-style operations, the focus might not be as in-depth as the SQL section. You should be familiar with basic CRUD operations (Create, Read, Update, Delete) and how to perform them in a document store like MongoDB.

3. **Difficulty Comparison:**
   - The difficulty of the NoSQL section compared to the SQL section may vary depending on your background. If you are more familiar with relational databases, the NoSQL concepts might initially seem challenging due to their different paradigms.
   - However, the NoSQL section is likely designed to test foundational knowledge rather than advanced technical skills, so it may be less complex than the SQL section, which often requires detailed understanding of query optimization, joins, and complex transactions.

Overall, the NoSQL Fundamentals section aims to provide a balanced assessment of both theoretical understanding and practical skills, ensuring that candidates have a well-rounded knowledge of modern database technologies.",,,
C-02,C,정처기/SQLD,SQLD 2026 NoSQL 기초 영역 신설,EN,gpt-4o,3,Please create a concise table of the NoSQL Fundamentals section's main topics and approximate question distribution.,"Certainly! Here's a concise table outlining the main topics of the NoSQL Fundamentals section and an approximate distribution of the 15 questions:

| Main Topic                  | Approximate Number of Questions | Description                                                                 |
|-----------------------------|---------------------------------|-----------------------------------------------------------------------------|
| Document Stores             | 4-5                             | Covers concepts, data models, use cases, and basic querying in document databases like MongoDB. |
| Key-Value Databases         | 3-4                             | Focuses on the structure, use cases, and popular technologies like Redis and DynamoDB. |
| CAP Theorem                 | 2-3                             | Tests understanding of consistency, availability, and partition tolerance trade-offs. |
| Eventual Consistency        | 2                               | Explores the concept of eventual consistency and its implications in NoSQL systems. |
| General NoSQL Concepts      | 2-3                             | Includes ACID vs. BASE, scalability, distribution, and other foundational NoSQL principles. |

This distribution provides a balanced assessment of both theoretical concepts and practical applications within the NoSQL domain.",,,
C-02,C,정처기/SQLD,SQLD 2026 NoSQL 기초 영역 신설,KO,gpt-4o,1,SQLD 자격증을 공부하고 있는데요. 2026년부터 시험에 'NoSQL 기초' 영역이 신설되어 도큐먼트 스토어와 키-값 데이터베이스를 다루는 15문항이 추가된다고 들었습니다. 이 영역이 어떤 내용을 다루는지 설명해 주세요.,"SQLD 자격증의 'NoSQL 기초' 영역에서는 주로 비관계형 데이터베이스의 기본 개념과 활용 방법을 다루게 됩니다. 도큐먼트 스토어와 키-값 데이터베이스는 NoSQL 데이터베이스의 두 가지 주요 유형으로, 각각의 특징과 사용 사례를 이해하는 것이 중요합니다.

1. **도큐먼트 스토어(Document Store)**:
   - **구조**: JSON, BSON, XML 등의 형식으로 데이터를 저장합니다.
   - **특징**: 유연한 스키마를 제공하여 다양한 구조의 데이터를 저장할 수 있습니다.
   - **사용 사례**: 복잡한 데이터 구조를 다루거나, 데이터의 구조가 자주 변경되는 경우에 적합합니다.
   - **예시**: MongoDB, CouchDB 등이 있습니다.

2. **키-값 데이터베이스(Key-Value Store)**:
   - **구조**: 단순한 키-값 쌍으로 데이터를 저장합니다.
   - **특징**: 매우 빠른 읽기 및 쓰기 성능을 제공하며, 간단한 데이터 모델을 사용합니다.
   - **사용 사례**: 세션 관리, 캐시, 사용자 프로필 저장 등 빠른 데이터 접근이 필요한 경우에 적합합니다.
   - **예시**: Redis, Amazon DynamoDB 등이 있습니다.

이 영역에서는 이러한 데이터베이스의 기본 개념, 장단점, 사용 사례, 그리고 기본적인 쿼리 방법 등을 학습하게 될 것입니다. 이를 통해 NoSQL 데이터베이스를 이해하고 적절히 활용할 수 있는 능력을 갖추게 됩니다.",,,
